Name,Date,Tags,Sector,Countries,Ransomware Group,Data Type,Sector Type
www.fenceauthority.com,30/8/2024,employee identifications,Service Provider,United States,RansomHub,Employee data,Service Provider
www.citebd.org,30/8/2024,not yet published,Publishing,France,RansomHub,not yet published,publishing
www.johnkellys.com,30/8/2024,order invoices,Fragrance,United Kingdom,RansomHub,Accounting/Audit data,fragrance
www.johnkellys.com,30/8/2024,letter of credit,Fragrance,United Kingdom,RansomHub,letter of credit,fragrance
www.johnkellys.com,30/8/2024,export document,Fragrance,United Kingdom,RansomHub,export document,fragrance
www.johnkellys.com,30/8/2024,product specification sheet,Fragrance,United Kingdom,RansomHub,Product data,fragrance
www.johnkellys.com,30/8/2024,finance documents,Fragrance,United Kingdom,RansomHub,Financial data,fragrance
www.suvacity.org,30/8/2024,budget documents,Public Administration,Fiji,RansomHub,budget documents,public administration
www.suvacity.org,30/8/2024,email exchanges,Public Administration,Fiji,RansomHub,email exchanges,public administration
www.suvacity.org,30/8/2024,certificate of insurance,Public Administration,Fiji,RansomHub,Insurance data,public administration
www.suvacity.org,30/8/2024,personal identifications,Public Administration,Fiji,RansomHub,Personal/User data,public administration
www.primariatm.ro,30/8/2024,company contracts,Public Administration,Romania,RansomHub,Company data,public administration
www.primariatm.ro,30/8/2024,educational certifications,Public Administration,Romania,RansomHub,educational certifications,public administration
www.primariatm.ro,30/8/2024,personal identifications,Public Administration,Romania,RansomHub,Personal/User data,public administration
www.mineduc.gob.gt,30/8/2024,personal identification,Education,Guatemala,RansomHub,Personal/User data,education
www.mineduc.gob.gt,30/8/2024,operational data,Education,Guatemala,RansomHub,Operational data,education
www.mineduc.gob.gt,30/8/2024,hr documents,Education,Guatemala,RansomHub,HR data,education
www.mineduc.gob.gt,30/8/2024,planning documents,Education,Guatemala,RansomHub,planning documents,education
