Name,Date,Tags,Sector,Countries
www.cyncsolutions.com,09/04/2024,"Backup Storage S3, Third-Pary Companies Data, Server Credentials",Technology,United States
www.congoleum.com,10/04/2024,"Client Documents, Personal Information, Layout Documents ",Construction,United States
www.tpicorp.com,10/04/2024,Technical Documents ,Industrial Machinery & Equipment,United States
logistasolutions.com,10/04/2024,"department data, employee personal data",Technology,United States
willislease.com,10/04/2024,"corporate data, customer data, employee personal data, executive level data, hr data, nda, finance and accounting",Aviation,United States
flynncompanies.com,10/04/2024,"corporate data, employee personal data",Service Provider,Canada
www.21stcenturyenergygroup.com,10/04/2024,Not Yet Published,Energy,United States
www.robesoncoso.org,12/04/2024,"Personal Identifications, Case Records, Licenses, Evidence Reports",Law Enforcement,United States
The University and College Union,12/04/2024,Confidential,Education,United Kingdom
a4hs-dom.local,13/04/2024,Confidential,Healthcare,United States
Health Quality Council,13/04/2024,Confidential,Healthcare,Canada
www.texas-ec.org,13/04/2024,Not Yet Published,Energy,United States
www.eebpsa.com.co,13/04/2024,"Accounting Documents, Internal Management Documents",Energy,Colombia
Planar,16/04/2024,Confidential,Technology,United States
The Coffee Bean & Tea Leaf,16/04/2024,Confidential,F&B,United States
Storck-Baugesellschaft mbH,16/04/2024,"Confidential, Financial data, Customer's data",Construction,Germany
San Francisco Sheriff's Department (sjcso.local),16/04/2024,Not Yet Published,Law Enforcement,United States
Quantum Healthcare,16/04/2024,Confidential,Healthcare,United States
www.elyriafoundry.com,16/04/2024,Not Yet Published,Manufacturing,United States
www.texasrecycling.com,16/04/2024,Not Yet Published,Environmental,United States
www.innerspec.com,16/04/2024,"Technical Documents, Design Documents",Industrial Machinery & Equipment,United States
www.prairieathletic.com,16/04/2024,"Personal Information, Client Information ",Healthcare,United States
www.hyperice.com,16/04/2024,"Customer Information, Product sheet, Insurance Documents",Manufacturing,United States
www.fareriassociates.com,16/04/2024,"Layout Design, Bank Details, Invoice Documents",Real Estate,United States
www.inda.org,16/04/2024,Not Yet Published,Manufacturing,United States
www.grupocuevas.es,16/04/2024,Not Yet Published,Service Provider,Spain
www.fabricainfo.com,17/04/2024,"Personal Identifications, Business Documents, Customer Documents",Document Digitalization,Brazil
DINAS Corp,17/04/2024,"Financial data, Confidential, HR",Distributor,United States
Divine Interprises INC,17/04/2024,"Financial data, Confidential, Customer's data, Contracts",Transportation,United States
ERoko Distributors + Colonial Countertops,17/04/2024,"Confidential, Financial data, Contracts, HR, Incidents, Customer's data",Manufacturing,Canada
Nusser Mineralöl GmbH,17/04/2024,"Confidential, HR, Customer's data, Financial data, Contracts",Energy (Oil and Gas),Germany
Don’t Waste Group,17/04/2024,"Confidential, Financial data, Customer's data, Incidents, HR, Contracts",Waste Management,South Africa
E-Z Pack Holdings LLC,17/04/2024,"Confidential, Customer's data, Contracts, Incidents, HR, Financial data",Manufacturing,United States
Visionary Homes,17/04/2024,"Confidential, Financial data, HR",Real Estate,United States
igf-inc.com,18/04/2024,"employee personal data, hr data, financial tax and payroll data",Distributor,United States
creativeenvironments.com,19/04/2024,"employee personal data, hr data, payroll, account information, customer files",Landscaping,United States
linksunlimited.com,19/04/2024,"corporate data, payroll, accounting docuemnts, user shared data",Recruitment,United States
imperialtrading.com,19/04/2024,"accounting documents, executive level data, hr data",Retail,United States
interluxury.com,19/04/2024,"corporate data, design documents",Retail,Switzerland
nfllp.com,19/04/2024,"corporate data, employee personal data, insurance docuemnts, passport information, ssns",Legal,United States
HP Distribution,21/04/2024,"Confidential, Financial data, Customer's data",Transportation,United States
OnePoint Patient Care,21/04/2024,"Confidential, Customer's data",Healthcare,United States
Regent Care Center,21/04/2024,"Confidential, Financial data, Incidents",Healthcare,United States
Boombah Inc.,21/04/2024,"Confidential, Financial data, HR, Customer's data",Sports,United States
HL Lawson & Sons,22/04/2024,"Contracts, Confidential",Transportation,United States
www.harmanrealtors.com,22/04/2024,Not Yet Published,Real Estate,United States
nepa.gov.af&dfr.gov.af,22/04/2024,Not Yet Published,Government,Afghanistan
Catholic Charities,23/04/2024,Not Yet Published,Non-Profit,United States
maingroup,23/04/2024,"Contracts, Financial data, Confidential",Hospitality,Ireland
Association Management Strategies(AAMC.local),23/04/2024,"Confidential, Financial data, Customer's data, HR, Contracts",Consulting,United States
DERBY SCHOOL,23/04/2024,"Contracts, Financial data, Confidential, Contracts, Financial data, Confidential, Incidents",Education,United States
Cambridge University Press & Assessment,23/04/2024,"Confidential, Financial data, Customer's data, HR, Incidents",Education,United Kingdom
Norther n Bedford County School District (nbcsc.org),23/04/2024,Not Yet Published,Education,United States
Larc,23/04/2024,"Confidential, Financial data, Customer's data",Elderly Care Services,United States
Behavioral Health Response (bhr.local),23/04/2024,"Confidential, Financial data, Customer's data, Incidents, HR, Contracts",Non-Profit,United States
www.customconcrete.com,23/04/2024,"Client Documents, Technical Documents, Insurance Documents, Personal Documents ",Construction,United States
erne,23/04/2024,"Confidential, Contracts, Customer's data, Contracts, Confidential",Construction,"
Switzerland"
www.bungersteel.com,24/04/2024,Not Yet Published,Construction,United States
www.europeanprof.es,24/04/2024,Credentials,Saftey and Risk Management,Spain
www.promotionholdings.com,24/04/2024,IT Documents,Public Relations,United States
www.rrcaaccounts.com,24/04/2024,Not Yet Published,Debt Collection,United States
elmatic.de,24/04/2024,"contracts and agreements, corporate data",Engineering,Germany
Center for Human Capital Innovation (centerforhci.org),25/04/2024,"Confidential, Financial data, Customer's data, Contracts",Consulting,United States
Midwest Covenant Home,25/04/2024,"Confidential, Customer's data, Financial data",Non-Profit,United States
Talley Group,25/04/2024,"Contracts, Financial data, Customer's data, HR",Healthcare,United States
waupacacounty-wi.gov,25/04/2024,"Contracts, Incidents, Customer's data, Financial data",Government,United States
Guhring USA,25/04/2024,Not Yet Published,Manufacturing,United States
GBA GROUP,25/04/2024,"Contracts, Confidential, Financial data, Customer's data, HR, Confidential",Life Science Service,United States
A.L.P. Lighting Components,25/04/2024,Not Yet Published,Manufacturing,United States
www.designintoto.com.au,25/04/2024,Not Yet Published,Design,Australia
www.precisiontimesystems.com,25/04/2024,"Payment Documents, Business License, Insurance Documents, Business Communications",Technology,United States
www.jutebag.co.uk,25/04/2024,Not Yet Published,Retail,United Kingdom
www.inquesttechnologies.com,26/04/2024,Not Yet Published,Technology,United Kingdom
www.polaris.es,26/04/2024,Not Yet Published,Technology,Spain
Rockford Public School District,28/04/2024,"Confidential, Customer's data, Incidents, Contracts, Financial data, Confidential",Education,United States
Maryhaven (MHCLINICAL.LOCAL),28/04/2024,Not Yet Published,Healthcare,United States
Puyallup Tribe (ptoi.local),28/04/2024,Not Yet Published,Government,United States
City Of Coon Rapids,28/04/2024,Not Yet Published,Government,United States
Richland City Hall,28/04/2024,"Confidential, Financial data, Customer's data",Government,United States
Regional Obstetrical Consultants,28/04/2024,"Financial data, Customer's data, Confidential",Healthcare,United States
Ejército del Per,29/04/2024,"Confidential, Incidents, Contracts, HR, Financial data, Customer's data",Government,Peru
OCEANAIR,29/04/2024,"Financial data, Contracts, Customer's data, HR, Confidential",Transportation,United States
Sensory Spectrum,30/04/2024,Not Yet Published,Consulting,United States
Kito Canada,30/04/2024,Not Yet Published,Manufacturing,Canada
Seneca Nation Health System,30/04/2024,Confidential,Healthcare,United States
middletown-township.org,30/04/2024,"Contracts, Incidents",Government,United States
First Nations Health Authority (fnha.local),30/04/2024,"Contracts, Confidential, Financial data, Customer's data, HR, Incidents",Healthcare,Canada
cpacsystems.se,30/04/2024,"employee personal data, financial data, technical documentation",Automotive,Sweden
Access Sports Medicine & Orthopaedics,30/04/2024,"Confidential, Financial data, Customer's data, HR, Contracts",Healthcare,United States
Gorrie-Regan,30/04/2024,Not Yet Published,Technology,United States
Sacred Heart Community Service (shcstheheart.org),30/04/2024,Not Yet Published,Service Provider,United States
Crandall ISD (CISD.crandallisd.org),30/04/2024,"Contracts, Confidential, HR, Incidents, Customer's data, Financial data",Education,United States
Deeside Timberframe,30/04/2024,"Contracts, Financial data, Contracts, Confidential, Financial data, Incidents, Customer's data",Manufacturing,United Kingdom
aloft,30/04/2024,"Confidential, Financial data",Manfacturing,Portugal
CONTROLNET,30/04/2024,"Confidential, Customer's data",Technology,United States
www.hedrickbrothers.com,01/05/2024,"Client Documents, Technical Documents, Insurance Documents",Construction,United States
www.belletire.com,01/05/2024,"Private Documents, Customer Information",Automotive ,United States
www.harveyconst.com,01/05/2024,Not Yet Published,Construction,United States
Electric Mirror,01/05/2024,"Confidential, Contracts, Customer's data, HR, Financial data, Incidents, Contracts, Confidential, Financial data",Manufacturing,United States
www.extraco.ae,02/05/2024,Not Yet Published,Manufacturing,United Arab Emirates
Softura,02/05/2024,"Confidential, Customer's data, Financial data, Contracts, Financial data, Confidential, Contracts, Financial data, Contracts, Confidential",Technology,United States
www.chromacolors.com,02/05/2024,Not Yet Published,Manufacturing,United States
www.peteatlanta.com,02/05/2024,"Invoice Documents, Customer Information ",Manufacturing,United States
www.tpicorp.com,02/05/2024,Not Yet Published,Industrial Machinery & Equipment,United States
www.srfirms.com,02/05/2024,"Client Documents, Project Quotations, Planning Documents",Legal,United States
www.glit.com,02/05/2024,Trade Documents,Agriculture,United States
www.brainworks.com,03/05/2024,Not Yet Published,Technology,United States
www.eaglematerials.com,03/05/2024,"Invoice Documents, Client Documents",Construction,United States
Mainline Health Systems (MHS.local),03/05/2024,"Contracts, Confidential, Financial data, Customer's data, Incidents, HR",Healthcare,United States
xcelbrands.com,03/05/2024,"accounting documents, employee personal data, executive level data, private scans",Retail,United States
alanritchey.com,04/05/2024,"accounting documents, employee personal data, hr data, legal data",Construction,United States
fairmontfcu.com,04/05/2024,"corporate data, legal documents, scans, loans, user data",Financial Services,United States
hvd.host,04/05/2024,"accounting documents, employee personal data, financial data, legal documents",Manufacturing,Australia
activeconceptsllc.com,04/05/2024,"accounting documents, employee personal data, hr data, r&d",Cosmetics,United States
haas4.com,04/05/2024,"company data, employee personal data, projects data",Construction,United States
zircodata.com,04/05/2024,"employee personal data, financial data, it data, nda, rm/rmcorp",Document Management and Storage Services,Australia
fcw.ch,04/05/2024,"accounting documents, corporate data, hr data",Retail,Switzerland
gfad.de,04/05/2024,"financial data, employee shared folders, source code",Consulting,Germany
www.thaayakam.co.uk,04/05/2024,Not Yet Published,Technology,United Kingdom
goodinabernathy.com,04/05/2024,"corporate data, employee personal data, case data, confidential agreements",Legal,United States
scullionlaw.com,04/05/2024,"company data, employee personal data",Legal,United Kingdom
www.kamojou.co.za,05/05/2024,Not Yet Published,Trading & Procurement,South Africa
www.3gl.ca,05/05/2024,Not Yet Published,Technology,Canada
Audubon Nature Institute (auduboninstitute.org),05/05/2024,"Confidential, Contracts, Financial data, HR, Customer's data",Non-Profit,United States
California Highway Patrol (SVEL237.org),06/05/2024,"Incidents, Financial data, Confidential",Government,United States
William S. Hein & Co.,06/05/2024,"Confidential, Confidential, Contracts, Financial data, Customer's data, Incidents, HR",Publishing,United States
www.portosaofrancisco.com.br,06/05/2024,"Accounting Documents, HR Documents, Financial Reports, Reception, Contracts, Operation Documents, Employee Details",Maritime,Brazil
Sterling Transportation Services (sts.local),07/05/2024,"Confidential, HR, Financial data, Customer's data",Transportation,United States
www.lalengineering.com,07/05/2024,Not Yet Published,Construction,Sri Lanka
Specialty Market Managers,07/05/2024,"Confidential, Customer's data, Financial data, HR",Financial Services,United States
Continuing Healthcare Solutions (chs.local),07/05/2024,"Customer's data, Financial data, Contracts, Confidential, HR, Incidents",Healthcare,United States
Pinnacle Orthopaedics,08/05/2024,"Confidential, Customer's data, Financial data, Contracts, Incidents",Healthcare,United States
iseta.fr,08/05/2024,Not Yet Published,Education,France
www.seagulf.com,12/05/2024,"Contracts, Client Documents",Maritime,Canada
www.westmech-hvac.com,12/05/2024,Not Yet Published,Service Provider,United States
www.freightbillauditor.com,12/05/2024,"Contracts, Payrolls, Employee Information ",Logistics ,United States
Delano Adult School (DJUHSD.ORG),13/05/2024,"Confidential, Contracts, Financial data, Customer's data, HR, Incidents",Education,United States
City of Buckeye (buckeyeaz.gov),13/05/2024,"Contracts, Confidential, Financial data, Incidents, HR",Government,United States
www.dtindustrialflooring.com,13/05/2024,"Client Documents, Contracts",Construction,United States
okuant.com,13/05/2024,"Investment Documents,",Real Estate,Spain
www.crezit.com,13/05/2024,"Personal Identification, Internal Documents, Customer Documents",Financial Services,Spain
www.kinter.com,13/05/2024,"Payroll Data, Business License ",Manufacturing,United States
www.rrlaw.ca,13/05/2024,Not Yet Published,Legal,Canada
www.citybuilders.com,13/05/2024,"Contracts, Accounting Documents, Layout Documents",Construction,United States
www.aircleaningspecialists.com,13/05/2024,"Business Process Documents, Financial Documents ",Environmental,United States
